('the article', array([[ 0.99621849,  0.00378151]]))
('redirect talk', array([[ 0.99610596,  0.00389404]]))
('thanks for', array([[ 0.99479892,  0.00520108]]))
('but not', array([[ 0.99192549,  0.00807451]]))
('but if', array([[ 0.99061057,  0.00938943]]))
('please add', array([[ 0.9905444,  0.0094556]]))
('thank you', array([[ 0.99054431,  0.00945569]]))
('for the', array([[ 0.99049914,  0.00950086]]))
('welcome to', array([[ 0.9904396,  0.0095604]]))
('this article', array([[ 0.99024579,  0.00975421]]))
('that there', array([[ 0.99013752,  0.00986248]]))
('article for', array([[ 0.98996025,  0.01003975]]))
('the welcome', array([[ 0.98973569,  0.01026431]]))
('but the', array([[ 0.98971476,  0.01028524]]))
('please see', array([[ 0.98960178,  0.01039822]]))
('the section', array([[ 0.98948631,  0.01051369]]))
('it could', array([[ 0.98925764,  0.01074236]]))
('article please', array([[ 0.98912527,  0.01087473]]))
('agree with', array([[ 0.98908213,  0.01091787]]))
('please explain', array([[ 0.98890316,  0.01109684]]))
('article there', array([[ 0.98884819,  0.01115181]]))
('great article', array([[ 0.98849982,  0.01150018]]))
('add the', array([[ 0.98841933,  0.01158067]]))
('it thanks', array([[ 0.98837158,  0.01162842]]))
('from editing', array([[ 0.98822076,  0.01177924]]))
('article should', array([[ 0.9881674,  0.0118326]]))
('might be', array([[ 0.98810123,  0.01189877]]))
('there were', array([[ 0.98796883,  0.01203117]]))
('but it', array([[ 0.98792619,  0.01207381]]))
('in any', array([[ 0.98780548,  0.01219452]]))
('there would', array([[ 0.98768382,  0.01231618]]))
('page thanks', array([[ 0.98766821,  0.01233179]]))
('list of', array([[ 0.98754529,  0.01245471]]))
('section for', array([[ 0.98734208,  0.01265792]]))
('page thank', array([[ 0.98730178,  0.01269822]]))
('discussion on', array([[ 0.98729155,  0.01270845]]))
('section in', array([[ 0.98722999,  0.01277001]]))
('welcome page', array([[ 0.9870755,  0.0129245]]))
('the book', array([[ 0.986895,  0.013105]]))
('please help', array([[ 0.98681377,  0.01318623]]))
('to agree', array([[ 0.9867043,  0.0132957]]))
('thanks to', array([[ 0.98657459,  0.01342541]]))
('section to', array([[ 0.98656538,  0.01343462]]))
('for discussion', array([[ 0.98653833,  0.01346167]]))
('but there', array([[ 0.98640575,  0.01359425]]))
('but we', array([[ 0.98639513,  0.01360487]]))
('so please', array([[ 0.98636102,  0.01363898]]))
('but would', array([[ 0.98623733,  0.01376267]]))
('agree to', array([[ 0.98620109,  0.01379891]]))
('have not', array([[ 0.98620003,  0.01379997]]))
('this section', array([[ 0.98587903,  0.01412097]]))
('there was', array([[ 0.98585711,  0.01414289]]))
('that the', array([[ 0.98585208,  0.01414792]]))
('request for', array([[ 0.98583683,  0.01416317]]))
('section on', array([[ 0.98572759,  0.01427241]]))
('to ask', array([[ 0.98572729,  0.01427271]]))
('the list', array([[ 0.9856311,  0.0143689]]))
('we could', array([[ 0.98561495,  0.01438505]]))
('as well', array([[ 0.98553055,  0.01446945]]))
('good idea', array([[ 0.98534553,  0.01465447]]))
('article would', array([[ 0.98525335,  0.01474665]]))
('to find', array([[ 0.98521391,  0.01478609]]))
('article which', array([[ 0.98519109,  0.01480891]]))
('many thanks', array([[ 0.98517768,  0.01482232]]))
