('fuck you', array([[ 0.95598597,  0.04401403]]))
('you are', array([[ 0.90813922,  0.09186078]]))
('fuck off', array([[ 0.89915941,  0.10084059]]))
('the fuck', array([[ 0.85544377,  0.14455623]]))
('fuck yourself', array([[ 0.85020197,  0.14979803]]))
('go fuck', array([[ 0.8388878,  0.1611122]]))
('you fucking', array([[ 0.82844593,  0.17155407]]))
('you suck', array([[ 0.78276852,  0.21723148]]))
('fuck up', array([[ 0.7805412,  0.2194588]]))
('and you', array([[ 0.77124354,  0.22875646]]))
('you you', array([[ 0.7592463,  0.2407537]]))
('you re', array([[ 0.74425606,  0.25574394]]))
('you stop', array([[ 0.74196216,  0.25803784]]))
('like you', array([[ 0.72711603,  0.27288397]]))
('you people', array([[ 0.71721636,  0.28278364]]))
('are you', array([[ 0.70326155,  0.29673845]]))
('stop being', array([[ 0.69894461,  0.30105539]]))
('all fuck', array([[ 0.69687856,  0.30312144]]))
('fucking get', array([[ 0.65507924,  0.34492076]]))
('because you', array([[ 0.65124585,  0.34875415]]))
('you guys', array([[ 0.64955996,  0.35044004]]))
('this guy', array([[ 0.64157986,  0.35842014]]))
('fucking hate', array([[ 0.63682124,  0.36317876]]))
('against me', array([[ 0.62921616,  0.37078384]]))
('your life', array([[ 0.62773297,  0.37226703]]))
('and stop', array([[ 0.6274146,  0.3725854]]))
('is your', array([[ 0.62683295,  0.37316705]]))
('don you', array([[ 0.62623139,  0.37376861]]))
('you go', array([[ 0.62507529,  0.37492471]]))
('fuck down', array([[ 0.62194809,  0.37805191]]))
('you don', array([[ 0.60933652,  0.39066348]]))
('and your', array([[ 0.60740785,  0.39259215]]))
('you get', array([[ 0.60584094,  0.39415906]]))
('shut up', array([[ 0.6057335,  0.3942665]]))
('guy is', array([[ 0.60242567,  0.39757433]]))
('get life', array([[ 0.60006784,  0.39993216]]))
('me you', array([[ 0.59827582,  0.40172418]]))
('you yourself', array([[ 0.59617817,  0.40382183]]))
('stupid and', array([[ 0.58786046,  0.41213954]]))
('you all', array([[ 0.58499186,  0.41500814]]))
('with your', array([[ 0.58472266,  0.41527734]]))
('yourself you', array([[ 0.58399574,  0.41600426]]))
('people you', array([[ 0.57900412,  0.42099588]]))
('get you', array([[ 0.57741997,  0.42258003]]))
('you like', array([[ 0.5764673,  0.4235327]]))
('of you', array([[ 0.57227122,  0.42772878]]))
('you have', array([[ 0.56923801,  0.43076199]]))
('that you', array([[ 0.56821434,  0.43178566]]))
('you will', array([[ 0.56543167,  0.43456833]]))
('you want', array([[ 0.56470812,  0.43529188]]))
('the hell', array([[ 0.55880239,  0.44119761]]))
('is you', array([[ 0.55522361,  0.44477639]]))
('up you', array([[ 0.54810573,  0.45189427]]))
('of shit', array([[ 0.54217806,  0.45782194]]))
('you just', array([[ 0.54027815,  0.45972185]]))
('do you', array([[ 0.5384148,  0.4615852]]))
('you and', array([[ 0.53751183,  0.46248817]]))
('will you', array([[ 0.5347255,  0.4652745]]))
('ban me', array([[ 0.52413474,  0.47586526]]))
('you should', array([[ 0.51962449,  0.48037551]]))
('people who', array([[ 0.51856191,  0.48143809]]))
('an asshole', array([[ 0.5173158,  0.4826842]]))
('so you', array([[ 0.5161465,  0.4838535]]))
('all you', array([[ 0.50714464,  0.49285536]]))
('he is', array([[ 0.50533496,  0.49466504]]))
('my life', array([[ 0.50402061,  0.49597939]]))
('yourself and', array([[ 0.50319724,  0.49680276]]))
('will stop', array([[ 0.50259317,  0.49740683]]))
('the guy', array([[ 0.50031202,  0.49968798]]))
('stop trying', array([[ 0.49886078,  0.50113922]]))
('you blocked', array([[ 0.49752666,  0.50247334]]))
('you never', array([[ 0.49719266,  0.50280734]]))
('people are', array([[ 0.49655393,  0.50344607]]))
('on you', array([[ 0.49630919,  0.50369081]]))
('get your', array([[ 0.49494945,  0.50505055]]))
('minorities fucking', array([[ 0.49414478,  0.50585522]]))
('up your', array([[ 0.48913181,  0.51086819]]))
('be dick', array([[ 0.48843281,  0.51156719]]))
('you my', array([[ 0.48780583,  0.51219417]]))
('and get', array([[ 0.48757303,  0.51242697]]))
('to stop', array([[ 0.48707403,  0.51292597]]))
('stop the', array([[ 0.48629869,  0.51370131]]))
('you won', array([[ 0.48592532,  0.51407468]]))
('you really', array([[ 0.48340977,  0.51659023]]))
('you because', array([[ 0.48217006,  0.51782994]]))
('grow up', array([[ 0.47895339,  0.52104661]]))
('please stop', array([[ 0.47822715,  0.52177285]]))
